Nombre,Estatus,Diferencia,Tiempo
"ACTINVER",true,0 min,06/04/2026 23:59:37
"AFIRME",true,0 min,06/04/2026 23:59:37
"ARCUS FI",true,0 min,06/04/2026 23:59:37
"ASP INTEGRA OPC",true,0 min,06/04/2026 23:59:37
"AZTECA",true,0 min,06/04/2026 23:59:37
"BAJIO",true,0 min,06/04/2026 23:59:37
"BANAMEX",true,0 min,06/04/2026 23:59:37
"BANCO COVALTO",true,0 min,06/04/2026 23:59:37
"BANCO S3",true,0 min,06/04/2026 23:59:37
"BANCOMEXT",false,N/A,06/04/2026 23:59:37
"BANCOPPEL",true,0 min,06/04/2026 23:59:37
"BANCREA",true,0 min,06/04/2026 23:59:37
"BANJERCITO",true,0 min,06/04/2026 23:59:37
"BANK OF AMERICA",true,0 min,06/04/2026 23:59:37
"BANK OF CHINA",false,N/A,06/04/2026 23:59:37
"BANKAOOL",true,0 min,06/04/2026 23:59:37
"BANOBRAS",true,0 min,06/04/2026 23:59:37
"BANORTE",true,0 min,06/04/2026 23:59:37
"BANREGIO",true,0 min,06/04/2026 23:59:37
"BANSI",true,0 min,06/04/2026 23:59:37
"BANXICO",true,0 min,06/04/2026 23:59:37
"BARCLAYS",false,N/A,06/04/2026 23:59:37
"BBASE",true,0 min,06/04/2026 23:59:37
"BBVA MEXICO",true,0 min,06/04/2026 23:59:37
"BMONEX",true,0 min,06/04/2026 23:59:37
"BaBien",true,0 min,06/04/2026 23:59:37
"CAJA POP MEXICA",true,0 min,06/04/2026 23:59:37
"CAJA TELEFONIST",true,0 min,06/04/2026 23:59:37
"CASHI CUENTA",true,0 min,06/04/2026 23:59:37
"CI BOLSA",true,0 min,06/04/2026 23:59:37
"CITI MEXICO",true,0 min,06/04/2026 23:59:37
"CLS",true,0 min,06/04/2026 23:59:37
"COMPARTAMOS",true,0 min,06/04/2026 23:59:37
"CONSUBANCO",true,0 min,06/04/2026 23:59:37
"COOPDESARROLLO",false,359 min,06/04/2026 23:59:37
"CREDICAPITAL",true,0 min,06/04/2026 23:59:37
"CREDICLUB",true,0 min,06/04/2026 23:59:37
"CRISTOBAL COLON",false,N/A,06/04/2026 23:59:37
"CoDi Valida",true,0 min,06/04/2026 23:59:37
"Cuenca",true,0 min,06/04/2026 23:59:37
"DONDE",true,0 min,06/04/2026 23:59:37
"Dep y Pag Dig",true,0 min,06/04/2026 23:59:37
"FINAMEX",false,N/A,06/04/2026 23:59:37
"FINCO PAY",true,0 min,06/04/2026 23:59:37
"FINCOMUN",true,0 min,06/04/2026 23:59:37
"FINTOC",true,0 min,06/04/2026 23:59:37
"FONDEADORA",true,0 min,06/04/2026 23:59:37
"FONDO (FIRA)",false,N/A,06/04/2026 23:59:37
"GBM",true,0 min,06/04/2026 23:59:37
"HEY BANCO",true,0 min,06/04/2026 23:59:37
"HIPOTECARIA FED",false,N/A,06/04/2026 23:59:37
"HSBC",true,0 min,06/04/2026 23:59:37
"ICBC",false,N/A,06/04/2026 23:59:37
"INBURSA",true,0 min,06/04/2026 23:59:37
"INDEVAL",false,N/A,06/04/2026 23:59:37
"INMOBILIARIO",true,0 min,06/04/2026 23:59:37
"INTERCAM BANCO",true,0 min,06/04/2026 23:59:37
"INVEX",true,0 min,06/04/2026 23:59:37
"JP MORGAN",true,0 min,06/04/2026 23:59:37
"KAPITAL",true,0 min,06/04/2026 23:59:37
"KLAR",true,0 min,06/04/2026 23:59:37
"KUSPIT",true,0 min,06/04/2026 23:59:37
"LIBERTAD",true,0 min,06/04/2026 23:59:37
"MASARI",false,N/A,06/04/2026 23:59:37
"MIFEL",true,0 min,06/04/2026 23:59:37
"MIZUHO BANK",false,N/A,06/04/2026 23:59:37
"MONEXCB",true,0 min,06/04/2026 23:59:37
"MUFG",false,N/A,06/04/2026 23:59:37
"MULTIVA BANCO",true,0 min,06/04/2026 23:59:37
"Mercado Pago W",true,0 min,06/04/2026 23:59:37
"MexPago",true,0 min,06/04/2026 23:59:37
"NAFIN",false,N/A,06/04/2026 23:59:37
"NU MEXICO",true,0 min,06/04/2026 23:59:37
"NVIO",true,0 min,06/04/2026 23:59:37
"PAGATODO",true,0 min,06/04/2026 23:59:37
"PPBALANCEMX",false,N/A,06/04/2026 23:59:37
"PROFUTURO",false,N/A,06/04/2026 23:59:37
"Peibo",true,0 min,06/04/2026 23:59:37
"SABADELL",true,0 min,06/04/2026 23:59:37
"SANTANDER",true,1 min,06/04/2026 23:59:37
"SCOTIABANK",true,0 min,06/04/2026 23:59:37
"SHINHAN",false,337 min,06/04/2026 23:59:37
"SPIN BY OXXO",true,0 min,06/04/2026 23:59:37
"STP",true,0 min,06/04/2026 23:59:37
"Swap",true,0 min,06/04/2026 23:59:37
"TESORED",true,0 min,06/04/2026 23:59:37
"TRANSFER",true,0 min,06/04/2026 23:59:37
"TRANSFER DIRECT",false,N/A,06/04/2026 23:59:37
"UALA",true,0 min,06/04/2026 23:59:37
"UNAGRA",false,N/A,06/04/2026 23:59:37
"VALMEX",false,N/A,06/04/2026 23:59:37
"VALUE",false,N/A,06/04/2026 23:59:37
"VE POR MAS",true,0 min,06/04/2026 23:59:37
"VOLKSWAGEN",true,0 min,06/04/2026 23:59:37
"albo",true,0 min,06/04/2026 23:59:37
